lang,speaker_id,audio_id,raw_text,normalized_text,duration_sec,sample_rate,audio_path
it,28223,20101006-0900-PLENARY-12-de_20101006-19:33:15_0,"Herr Präsident, liebe Kolleginnen und Kollegen!",herr präsident liebe kolleginnen und kollegen!,2.419875,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/it/batch_468/audio_4.wav
fr,125026,20150112-0900-PLENARY-10-de_20150112-18:18:44_2,"Es ist uns wieder einmal schmerzhaft vor Augen geführt worden, dass Freiheit und Demokratie Werte sind, die verteidigt werden müssen.",es ist uns wieder einmal schmerzhaft vor augen geführt worden dass freiheit und demokratie werte sind die verteidigt werden müssen.,6.7599375,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/fr/batch_179/audio_7.wav
it,28229,20150114-0900-PLENARY-3-de_20150114-09:31:32_30,"Der letzte Gedanke, den ich ansprechen will, ist die Nachbarschaftspolitik, Russland Sie haben es angesprochen.",der letzte gedanke den ich ansprechen will ist die nachbarschaftspolitik russland sie haben es angesprochen.,5.68,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/it/batch_408/audio_4.wav
de,28227,20101214-0900-PLENARY-17-de_20101214-23:00:48_11,"Sollte sich hierbei auch herausstellen, dass eine Änderung der Grenzwerte zum Schutz unserer Kinder notwendig ist, fordere ich auch hier eine Nachbesserung.",sollte sich hierbei auch herausstellen dass eine änderung der grenzwerte zum schutz unserer kinder notwendig ist fordere ich auch hier eine nachbesserung.,7.7789375,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/de/batch_107/audio_4.wav
fr,1263,20181211-0900-PLENARY-de_20181211-18:53:44_6,"Und wir müssen das, was wir mit der Verteidigungsunion im letzten Dezember zuwege gebracht haben, schneller mit Mitteln ausfüllen, wo die Mitgliedstaaten noch zu zurückhaltend sind.",und wir müssen das was wir mit der verteidigungsunion im letzten dezember zuwege gebracht haben schneller mit mitteln ausfüllen wo die mitgliedstaaten noch zu zurückhaltend sind.,9.8,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/fr/batch_119/audio_2.wav
fr,96852,20191218-0900-PLENARY-de_20191218-20:38:33_11,"Aber das sind genau die, die am meisten für die Verletzung von Menschenrechten im Iran zuständig sind.",aber das sind genau die die am meisten für die verletzung von menschenrechten im iran zuständig sind.,5.4399375,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/fr/batch_209/audio_3.wav
de,2323,20140115-0900-PLENARY-8-de_20140115-12:53:00_9,"Wir hatten da, bevor wir das bauliche Problem hatten, in der Regel sechs Mini Plenarsitzungen.",wir hatten da bevor wir das bauliche problem hatten in der regel sechs mini plenarsitzungen.,5.2195,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/de/batch_376/audio_4.wav
de,96646,20120611-0900-PLENARY-13-de_20120611-17:36:28_9,"Zudem nehmen wir Sorgen der japanischen Landwirte sehr ernst, die ihre Existenz durch künftige europäische Agrarexporte bedroht sehen.",zudem nehmen wir sorgen der japanischen landwirte sehr ernst die ihre existenz durch künftige europäische agrarexporte bedroht sehen.,7.299875,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/de/batch_468/audio_11.wav
de,28220,20120510-0900-PLENARY-5-de_20120510-10:22:10_2,"Wir freuen uns, dass Sie zum ersten Mal so in trauter Runde an dieser Entlastungsdebatte teilnehmen.",wir freuen uns dass sie zum ersten mal so in trauter runde an dieser entlastungsdebatte teilnehmen.,5.6999375,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/de/batch_484/audio_1.wav
de,96998,20141021-0900-PLENARY-4-de_20141021-09:47:24_15,"Ja, das ist richtig. Aber gleichzeitig muss die Kommission die Prozesse vereinfachen, damit das Geld der Jugendinitiative endlich abgeholt wird.",ja das ist richtig. aber gleichzeitig muss die kommission die prozesse vereinfachen damit das geld der jugendinitiative endlich abgeholt wird.,7.6599375,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/de/batch_282/audio_3.wav
de,96772,20111025-0900-PLENARY-8-de_20111025-13:26:03_3,"Es ist auch richtig, dass wir hier eine ganze Menge Nachholbedarf haben.",es ist auch richtig dass wir hier eine ganze menge nachholbedarf haben.,3.1000625,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/de/batch_68/audio_0.wav
de,2278,20151027-0900-PLENARY-12-de_20151027-16:32:13_5,"Es ist sehr klar, dass wir in diesem Bereich, natürlich auch in der Flüchtlingspolitik, neue Standards setzen müssen.",es ist sehr klar dass wir in diesem bereich natürlich auch in der flüchtlingspolitik neue standards setzen müssen.,6.7,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/de/batch_541/audio_2.wav
it,1911,20110928-0900-PLENARY-2-de_20110928-09:56:58_37,Da kann man wirklich sagen Das sind die Methoden des Wiener Kongresses im,da kann man wirklich sagen das sind die methoden des wiener kongresses im.,4.76,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/it/batch_106/audio_3.wav
fr,120478,20170405-0900-PLENARY-13-de_20170405-15:41:42_0,"Herr Präsident, meine Damen und Herren!",herr präsident meine damen und herren!,1.91975,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/fr/batch_199/audio_4.wav
fr,1933,20140415-0900-PLENARY-14-de_20140415-16:14:40_10,"Die Mitgliedstaaten werden verpflichtet zusammenzuarbeiten, um Betrug aufzudecken und zu bestrafen.",die mitgliedstaaten werden verpflichtet zusammenzuarbeiten um betrug aufzudecken und zu bestrafen.,6.5999375,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/fr/batch_209/audio_0.wav
fr,99945,20200917-0900-PLENARY-de_20200917-10:48:00_2,"Da sind Mitgliedstaaten im Rat, die sich einen schlanken Fuß machen oder in Fundamentalopposition gehen.",da sind mitgliedstaaten im rat die sich einen schlanken fuß machen oder in fundamentalopposition gehen.,4.779375,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/fr/batch_241/audio_2.wav
fr,None,20130521-0900-PLENARY-4-de_20130521-12:02:43_22,Ich bin dankbar dafür.,ich bin dankbar dafür.,1.3399375,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/fr/batch_293/audio_1.wav
it,193273,20180911-0900-PLENARY-de_20180911-16:23:51_9,"Gestaltet mit uns ein Europa der Gerechtigkeit, in dem Rassismus keinen Platz hat!",gestaltet mit uns ein europa der gerechtigkeit in dem rassismus keinen platz hat!,6.124,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/it/batch_461/audio_9.wav
it,1929,20121211-0900-PLENARY-7-de_20121211-13:59:36_6,"Die Abgabe der Medikamente direkt durch den Tierarzt hat sich in der Vergangenheit bewährt. Die Mittel sind sofort verfügbar, und die individuelle Behandlung ist gesichert.",die abgabe der medikamente direkt durch den tierarzt hat sich in der vergangenheit bewährt. die mittel sind sofort verfügbar und die individuelle behandlung ist gesichert.,9.358625,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/it/batch_557/audio_9.wav
fr,28255,20100209-0900-PLENARY-8-de_20100209-16:17:14_6,Dazu sind wirklich maßgeblich wichtige und energische Maßnahmen notwendig. BRK,dazu sind wirklich maßgeblich wichtige und energische maßnahmen notwendig. brk,5.1591875,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/fr/batch_37/audio_8.wav
de,2247,20111214-0900-PLENARY-13-de_20111214-17:07:01_30,Wir wollen aber auch dort Akzente setzen.,wir wollen aber auch dort akzente setzen.,2.639875,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/de/batch_289/audio_5.wav
fr,1927,20200708-0900-PLENARY-de_20200708-20:20:04_10,"Die Mitgliedstaaten haben in der Vergangenheit oft reflexartig gesagt Gesundheit ist nur national, Europa soll sich raushalten.",die mitgliedstaaten haben in der vergangenheit oft reflexartig gesagt gesundheit ist nur national europa soll sich raushalten.,6.9199375,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/fr/batch_248/audio_1.wav
de,1909,20170404-0900-PLENARY-5-de_20170404-11:18:16_5,"Deswegen brauchen wir eine klare europäische Überwachung der Einhaltung unserer Vorschriften, und das muss das Ergebnis dieses Gesetzgebungsprozesses sein.",deswegen brauchen wir eine klare europäische überwachung der einhaltung unserer vorschriften und das muss das ergebnis dieses gesetzgebungsprozesses sein.,9.36,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/de/batch_239/audio_0.wav
