lang,audio_id,duration_sec,sample_rate,audio_path,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39
5,20101006-0900-PLENARY-12-de_20101006-19:33:15_0,2.419875,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/it/batch_468/audio_4.wav,-461.24826,80.46914,-31.130995,46.152115,0.31639415,-22.244526,-11.839041,-25.794401,-14.0465765,-10.035747,-16.269318,12.737406,-15.848286,0.0877491,0.29330167,-0.08383685,0.25142872,-0.049155828,-0.047585733,0.10840034,-0.057224516,0.068709224,-0.02310354,-0.050522655,-0.068302855,-0.09786821,-0.33154044,-0.032573566,0.041666627,0.017979385,0.027438195,0.051201675,0.09098222,-0.01651831,0.03059953,0.06360524,0.038901966,-0.01693842,-0.022314647
2,20150112-0900-PLENARY-10-de_20150112-18:18:44_2,6.7599375,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/fr/batch_179/audio_7.wav,-468.43756,80.29784,-16.52494,38.124317,-43.994465,-12.278995,-25.99614,7.592305,-20.66128,-0.18320723,-10.402729,-10.30663,-4.0416803,-0.06986783,0.03222232,0.024838787,-0.030869938,0.051663946,0.016442766,-0.031860683,-0.029344993,-0.009285447,-0.031237328,-0.014387128,0.0077209654,-0.0061676065,-0.013184844,0.0063094315,0.019153114,-0.0009536976,0.01187957,0.014683228,0.0005098497,-0.007486815,-0.0050985524,-0.0012455466,-0.01007301,-0.0005800435,-0.014742931
5,20150114-0900-PLENARY-3-de_20150114-09:31:32_30,5.68,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/it/batch_408/audio_4.wav,-396.43008,90.27504,-12.924796,41.109566,-15.944729,4.7544785,-23.59295,9.923279,-30.88432,3.6468182,-18.321169,9.373984,-12.868931,1.0296701,0.27901965,-0.1801946,-0.06571359,-0.09303273,-0.004483446,-0.06344462,0.021452,-0.111934856,0.07201821,-0.043785255,0.038858905,-0.021011796,-0.09753723,0.01710585,0.024376571,-0.017161177,0.0205848,-0.020044908,0.047811404,0.009580315,-0.011537774,-0.030875409,-0.025528705,0.010404702,0.009442638
1,20101214-0900-PLENARY-17-de_20101214-23:00:48_11,7.7789375,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/de/batch_107/audio_4.wav,-449.75974,53.711536,-14.474445,24.037004,-18.886148,-16.263603,-18.928097,-6.391149,-7.70411,-7.2063975,0.3670472,-11.544573,0.952111,0.02589618,0.03556595,0.041157994,0.011011884,-0.05900369,-0.038852356,-0.045703348,0.01591124,-0.021996815,-0.011379332,0.059055388,0.01700654,0.02216061,0.16088916,0.0053417482,-0.027101664,-0.010684292,-0.0035985357,-0.0047340966,0.00057719974,0.0054374863,-0.0023625689,0.006991357,-0.0021355927,0.003809449,0.0065761753
2,20181211-0900-PLENARY-de_20181211-18:53:44_6,9.8,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/fr/batch_119/audio_2.wav,-502.56274,68.690155,-20.538074,32.25964,-15.956009,-11.4396925,-13.39948,-36.149887,-16.721205,-5.0945854,-18.676798,-4.316194,-17.137941,-0.19668199,-0.20594575,0.16906077,-0.026711322,-0.019584278,0.11911341,-0.03564702,0.08485484,-0.014944212,-0.025229134,0.030055873,0.0141833145,0.013607136,-7.861543e-05,-0.043592192,-0.00088871655,-0.00068518484,0.003776827,-0.02636167,0.004991271,-0.0059648976,0.01898654,0.0015076376,0.0030088103,0.0019330896,0.021872126
2,20191218-0900-PLENARY-de_20191218-20:38:33_11,5.4399375,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/fr/batch_209/audio_3.wav,-498.77023,47.40635,-13.578347,26.737705,-26.856009,-30.112617,-17.66742,-12.209528,-14.614258,-13.08914,-14.766835,-12.931741,-9.422507,0.2023976,-0.03296035,-0.13637523,0.003150193,-0.026513653,-0.034351435,0.010672955,0.013234949,0.08094136,0.09331951,0.016778197,-0.009436387,0.014024846,0.24397418,-0.014080183,-0.008555193,0.023184553,-0.0073889783,-0.023712536,0.001802398,0.015514933,0.0045781275,0.015233668,0.0009386592,0.0006666499,0.021563355
1,20140115-0900-PLENARY-8-de_20140115-12:53:00_9,5.2195,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/de/batch_376/audio_4.wav,-403.74127,112.56477,-18.7387,46.94324,-36.185566,5.4525957,11.017366,-26.075756,-9.817953,-1.7925087,-23.537775,1.0015118,-18.401495,-0.5447616,-0.27832207,0.058050074,-0.004555947,0.16955334,0.0425801,-0.10135297,0.12959875,0.0031461387,-0.053343426,-0.02242203,-0.0072551137,0.06349797,-0.015666837,-0.03976094,-0.008425304,-0.021077482,0.039417107,-0.008960285,-0.024161335,0.03632955,0.013722896,-0.024334027,-0.021600638,0.008832692,0.022784865
1,20120611-0900-PLENARY-13-de_20120611-17:36:28_9,7.299875,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/de/batch_468/audio_11.wav,-448.77316,96.7744,4.441342,45.652237,-21.205244,-8.408157,-18.651068,-5.6431065,-7.1023726,-14.606681,5.6969466,-12.412571,-6.0702133,-0.16301334,0.056841496,-0.008651663,0.018686958,-0.030477693,0.0042144004,0.0019111123,-0.012388644,-0.023691079,0.002101629,-0.0050543356,0.0019561416,-0.0278541,-0.03739122,-0.050342143,-0.039109558,-0.04626677,-0.01274294,-0.0072006355,0.013865029,0.0012929038,0.0121640405,0.03644325,0.00518845,0.019061448,0.014261185
1,20120510-0900-PLENARY-5-de_20120510-10:22:10_2,5.6999375,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/de/batch_484/audio_1.wav,-478.72226,69.3691,-6.2555976,11.636586,-15.617452,-19.738823,-16.748812,-7.950473,-11.816749,-2.629145,-10.589561,-4.8486176,-2.9996724,-0.022897338,0.089635685,0.01939784,-0.035695788,-0.13692576,-0.011611371,-0.011465602,-0.02438138,0.024198191,0.031835865,-0.0161114,0.0054458953,0.028532524,-0.013095274,0.0045426902,-0.0072409413,0.022017702,-0.017826699,0.0107848225,-0.008231025,-0.005341909,0.0027607132,0.0046640146,-0.00062182493,-0.009792135,0.006017004
1,20141021-0900-PLENARY-4-de_20141021-09:47:24_15,7.6599375,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/de/batch_282/audio_3.wav,-392.68365,93.00179,-17.513844,39.433895,-28.359442,-17.113008,-26.985624,7.1772118,-24.731672,0.4517433,-8.626504,-7.368569,-0.18991472,-0.28679785,-0.013496399,0.020354744,0.018319977,0.010966637,0.0072826105,0.034062058,-0.02163416,0.034285046,0.017264517,0.012188272,-0.024621401,0.005049936,0.07685307,0.009614778,-0.001042737,0.02214258,0.013665934,-0.013365032,0.018671572,-0.025140703,-0.0040916326,-0.0019128765,-0.014329878,-0.006065681,0.010008926
1,20111025-0900-PLENARY-8-de_20111025-13:26:03_3,3.1000625,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/de/batch_68/audio_0.wav,-419.7018,101.963615,-5.4848914,35.262703,-33.443855,-9.271888,-11.599645,-8.332285,-9.241111,-8.088483,-7.6595078,-2.7736804,-5.19148,0.54163396,0.36621767,-0.16867901,0.06229322,-0.108583786,-0.05742408,0.08361732,-0.2332454,0.0023534168,-0.02194723,0.07550002,-0.0031381235,0.026310243,0.041074876,0.05897157,-0.0040891073,0.05557739,0.01590581,-0.00394756,0.05875632,0.034496836,0.044774603,0.034578774,-0.010149275,0.014118368,0.0023422602
1,20151027-0900-PLENARY-12-de_20151027-16:32:13_5,6.7,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/de/batch_541/audio_2.wav,-438.7082,71.96342,-35.65213,50.70265,-36.68091,-1.2405167,-35.275402,-13.341236,-16.175167,-12.753239,-10.067078,-7.5896096,-15.803489,-0.42231995,0.018501008,-0.039562088,-0.04403457,0.04278518,-0.047340717,0.03294642,-0.04242633,0.044244748,-0.020429,0.032783292,-0.03146782,-0.015872952,0.011521497,0.06270673,0.019635167,0.006792195,0.021816052,0.009539511,0.018548861,-0.027542984,0.010957103,-0.014173192,0.016256882,-0.007546763,0.010139746
5,20110928-0900-PLENARY-2-de_20110928-09:56:58_37,4.76,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/it/batch_106/audio_3.wav,-386.23846,42.649117,-35.573463,27.190067,-13.806156,-19.650307,-6.31803,-22.855856,-1.4460261,-12.0298605,-6.178243,-7.420271,-10.999834,-0.02378055,-0.18523547,0.1462522,0.11880775,0.059390653,0.01920493,-0.092933595,0.022797205,-0.04961173,-0.07813708,-0.034030568,-0.009820251,0.02287468,0.051081397,0.08806948,0.043545727,0.06690304,0.018381031,-0.003826847,-0.025182944,0.028006189,-0.02265734,-0.00061161316,0.043410107,0.01676613,0.0036078638
2,20170405-0900-PLENARY-13-de_20170405-15:41:42_0,1.91975,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/fr/batch_199/audio_4.wav,-380.58023,52.668674,-54.08907,27.619461,-34.41152,-16.935066,-33.61478,-13.316032,-11.360002,-23.32151,-8.632129,-12.321686,-10.642704,1.8566622,-0.24121566,-0.28068125,-0.17409503,-0.058977146,-0.19142057,-0.18561311,0.034724265,-0.16397087,-0.18751524,-0.015517409,0.0044936687,-0.016890198,-0.100059666,0.008519988,0.059686173,0.020039417,0.04894339,-0.014369796,0.008054449,0.0056167073,0.07135365,0.027580237,0.020396486,0.03394177,0.042709094
2,20140415-0900-PLENARY-14-de_20140415-16:14:40_10,6.5999375,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/fr/batch_209/audio_0.wav,-485.6089,79.99231,-33.119884,23.317553,-24.960728,-15.010503,-27.241957,-2.304537,-22.35411,-1.9688218,-14.895325,-3.5224965,-16.638155,-0.32403213,-0.051144086,-0.019664727,-0.12031995,0.034381714,0.048126474,-0.0018144593,0.051218748,0.015009653,0.012401497,0.020496925,0.020120382,0.07516865,0.021186363,-0.01717946,0.01875223,-0.022978354,-0.0068572997,0.016488858,0.008939256,0.010084534,-0.0066731656,-0.010158695,0.02293036,0.019578263,0.006811818
2,20200917-0900-PLENARY-de_20200917-10:48:00_2,4.779375,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/fr/batch_241/audio_2.wav,-398.99097,37.126675,-13.323882,20.596931,-23.331322,-17.495958,-10.583923,-12.242987,-16.61775,-9.104492,-11.90692,-9.090692,-5.2798905,-0.8620816,0.01032771,0.007889353,0.077555686,-0.07866236,0.01857408,0.06275636,0.045858752,0.015896624,0.025144383,0.022929765,0.030517815,-0.017314747,-0.06434912,0.070773005,0.06657539,-0.0057759155,0.022902621,-0.0112830745,0.037949074,-0.0010215408,-0.007516179,0.029187052,-0.017816424,-0.019196909,-0.0147593105
2,20130521-0900-PLENARY-4-de_20130521-12:02:43_22,1.3399375,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/fr/batch_293/audio_1.wav,-515.3249,100.03421,-12.341409,30.246725,-26.676594,3.4047835,-16.674803,5.552026,-9.082821,1.7989247,-5.2358475,-0.1686952,-3.0071008,0.029156813,-0.011951902,0.07351494,0.09266764,-0.07705432,0.016245158,0.114059195,0.03336288,0.020191377,-0.026067222,-0.008603018,-0.020161245,-0.06873714,-0.0197772,-0.06679072,-0.019864751,-0.01678258,-0.0076643676,-0.040934063,-0.006940909,0.018507019,-0.09921562,-0.013276883,0.000924146,0.0149278175,0.027142268
5,20180911-0900-PLENARY-de_20180911-16:23:51_9,6.124,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/it/batch_461/audio_9.wav,-512.1283,15.861523,-4.2116876,31.53753,-40.748173,-27.640331,-13.150072,-12.816638,-20.604921,-5.2695494,-16.896044,-4.483095,-11.79135,0.2698989,-0.020715188,-0.017114792,0.021886792,-0.019706666,0.0059968657,0.024952678,0.03277745,0.021158326,0.028468968,-0.020392207,-0.0076609435,-0.040027484,0.0069347774,0.07407079,0.007057417,-0.017191403,0.038377874,-0.004776746,-0.01565285,-0.00084628834,-0.024594888,-0.0047583906,-0.020730745,0.0009271076,0.0043083094
5,20121211-0900-PLENARY-7-de_20121211-13:59:36_6,9.358625,16000,G:/.shortcut-targets-by-id/1I_1rgpq7N-oeJEqICjkPjQKmVMhQk48O/voxpopuli_data/it/batch_557/audio_9.wav,-453.4394,63.093006,-6.7178855,11.219649,-24.710995,-25.007372,-9.939305,-3.7927365,-16.942038,-2.7136357,-3.4708874,-10.166052,-2.7839615,0.08963057,-0.026328199,0.007876688,0.008151394,-0.056973,-0.027230289,0.0039325943,0.00080415735,-0.01589108,0.033252604,-0.0070574884,-0.0073970435,-0.000985492,-0.0074887583,-0.0017177773,0.007547405,0.00043361206,0.0014411985,0.00071097084,0.004903612,-0.010916714,-0.011732576,-0.0026848835,-0.011441535,-0.01061197,-0.009199708
